HID,PID,PARENTw1,PYBRT1Aw1,PYBRT1Bw1,PYGENDERw1,PHOMPOPw1,PRELATE1w1,PGENDER1w1,PBRTA1w1,PBRTB1w1,PRELATE2w1,PGENDER2w1,PBRTA2w1,PBRTB2w1,PRELATE3w1,PGENDER3w1,PBRTA3w1,PBRTB3w1,PRELATE4w1,PGENDER4w1,PBRTA4w1,PBRTB4w1,PRELATE5w1,PGENDER5w1,PBRTA5w1,PBRTB5w1,PRELATE6w1,PGENDER6w1,PBRTA6w1,PBRTB6w1,PRELATE7w1,PGENDER7w1,PBRTA7w1,PBRTB7w1,PRELATE8w1,PGENDER8w1,PBRTA8w1,PBRTB8w1,PYBRP1w1,PYBRP2w1,PYBRP3w1,PFAM1A00w1,PFAM1A00_Tw1,PEDU1A00w1,PEDU1B01w1,PEDU1B02w1,PEDU1B02_Tw1,PEDU1C00w1,PEDU1B03w1,PEDU1B04w1,PEDU1B04_Tw1,PFAM2A01w1,PFAM2A01_Tw1,PFAM2A02w1,PFAM2A02_Tw1,PFAM2A03w1,PFAM2A03_Tw1,PFAM2A04w1,PFAM2A04_Tw1,PFAM4A01w1,PFAM4A02w1,PFAM4A03w1,PFAM4A04w1,PFAM3A00w1,PFAM3B00w1,PFAM3C00w1,PFAM3D00w1,PMDA1A00w1,PMDA1B01w1,PMDA1B02w1,PMDA1B03w1,PMDA1B04w1,PMDA1B05w1,PMDA1B06w1,PMDA1B07w1,PMDA1B08w1,PMDA1B09w1,PMDA1B10w1,PMDA1B11w1,PMDA1B13w1,PMDA1B13_Tw1,PMDA1C01w1,PMDA1C02w1,PMDA1C03w1,PMDA1C04w1,PMDA1C05w1,PMDA1C06w1,PMDA1C07w1,PMDA1C08w1,PMDA1C09w1,PMDA1C10w1,PMDA1C11w1,PMDA1C12w1,PMDA1C13w1,PMDA1C14w1,PMDA1C15w1,PPSY1A01w1,PPSY1A02w1,PPSY1A03w1,PPSY1A04w1,PPSY1A05w1,PPSY2A01w1,PPSY2A02w1,PPSY2A03w1,PPSY2A04w1,PPSY3A01w1,PPSY3A02w1,PPSY3A03w1,PPSY3A04w1,PPSY3A05w1,PPSY3A06w1,PPSY3A07w1,PPSY3A08w1,PPSY3A09w1,PPSY3A10w1,PPSY4A01w1,PPSY4A02w1,PPSY4A03w1,PPSY4A04w1,PPSY4A05w1,PPSY4A06w1,PPSY4A07w1,PPSY4A08w1,PPSY4A09w1,PPSY4A10w1,PPSY4A11w1,PPSY4A12w1,PPSY4A13w1,PPSY4A14w1,PPSY4A15w1,PPSY4A16w1,PPSY4A17w1,PPSY4A18w1,PPSY4A19w1,PPSY4A20w1,PPSY4A21w1,PPSY4A22w1,PPSY4A23w1,PPSY4A24w1,PPSY4A25w1,PPSY4A26w1,PPSY4A27w1,PPSY4A28w1,PPSY4A29w1,PPSY4A30w1,PPSY4Ascw1,PPSY5A01w1,PPSY5A02w1,PPSY5A03w1,PPSY5A04w1,PPSY5A05w1,PPSY5A06w1,PPSY5A07w1,PPSY5A08w1,PPHY1A00w1,PPHY1B00w1,PPHY1C00w1,PPHY2A00w1,PPHY2B00w1,PBRP1w1,PBRP2w1,PBRP3w1,PSCHOOL1w1,PSCHOOL2w1,PSCHOOL3w1,PWORKW1w1,PWORKW2w1,PWORKW3w1,PJOB1w1,PJOB2w1,PJOB3w1,PJOB1_Tw1,PJOB2_Tw1,PJOB3_Tw1,PINCOMEw1,PINCOME1w1
3806,1,1,2005,2,2,4,1,1,1978,3,2,2,1980,12,3,1,2003,7,3,2,2005,2,,,,,,,,,,,,,,,,,1,9,,1,,1,6,8,없음,23,,,,1,,1,,1,,1,,3,0,5,0,3,4,4,2,1,3,4,3,3,1,1,3,2,4,4,2,8,,1,1,1,1,3,1,1,1,1,3,1,1,1,1,3,3,3,3,3,3,3,3,3,2,2,1,3,3,2,2,3,2,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,3,3,3,2,3,3,2,3,2,1,7,165,53,1,9,,4,4,10,1,1,3,8,4,,,,,6,2
3807,1,1,2005,11,1,6,1,2,1979,11,2,1,1973,7,6,1,1942,10,6,2,1945,12,3,1,2005,11,3,2,2011,8,,,,,,,,,1,1,,4,,1,3,5,,60,,,,3,,1,,1,,1,,2,0,12,0,4,4,4,3,1,4,4,3,4,2,2,4,1,4,3,4,8,,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,3,3,3,3,3,3,3,3,1,3,1,4,4,1,1,4,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,3,2,3,2,3,2,2,3,3,3,5,7,170,85,1,14,,5,5,10,1,1,3,1,3,,,,,7,3
3808,1,1,2005,2,1,4,1,2,1973,12,2,1,1970,6,3,1,2005,2,3,1,2008,5,,,,,,,,,,,,,,,,,1,9,,1,,1,5,4,,20,,,,1,,1,,1,,1,,1,0,4,0,4,4,3,3,1,4,2,3,4,2,1,3,4,3,4,2,8,,2,2,2,2,3,2,2,2,2,3,2,3,2,2,3,3,3,3,2,2,3,3,3,2,2,2,2,3,3,2,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2,3,3,3,2,2,2,3,2,3,1,2,163,56,1,4,,4,4,10,1,1,3,3,3,,,,,8,3
3809,1,1,2005,3,2,4,1,2,1978,6,2,1,1974,4,3,2,2005,3,3,2,2009,2,,,,,,,,,,,,,,,,,1,9,,1,,1,5,6,,60,,,,2,,1,,1,,1,,6,0,12,0,3,4,3,2,1,3,3,3,3,3,1,3,3,3,3,1,8,,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-3,3,3,3,3,3,2,3,3,3,3,7,160,64,1,9,,4,4,10,1,1,3,8,9,,,,,4,3
3810,1,1,2005,3,2,5,1,2,1974,5,2,1,1974,11,3,2,2005,3,3,1,2008,4,6,2,1945,12,,,,,,,,,,,,,1,9,,4,,1,5,4,,50,,,,1,,1,,1,,1,,3,0,6,0,3,3,4,4,1,3,3,2,3,1,1,2,1,1,1,1,8,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,3,1,3,3,1,1,4,3,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,-6,1,3,3,3,1,1,3,3,2,1,7,165,55,1,9,,5,5,10,1,1,3,1,3,,,,,6,3
3811,1,1,2005,12,1,3,1,2,1978,7,2,1,1975,9,3,1,2005,12,,,,,,,,,,,,,,,,,,,,,1,14,,1,,2,,,,,8,6,아직 이?,1,,1,,1,,1,,4,0,4,0,3,3,4,3,1,4,4,4,4,2,4,4,4,2,4,3,8,,2,2,1,1,4,1,1,2,1,3,1,2,3,3,2,2,3,3,2,2,3,3,2,2,3,2,3,3,2,2,3,4,2,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,2,2,3,2,3,3,7,155,55,1,14,,4,4,10,1,2,3,3,,,,,,4,2
3812,1,2,2005,5,2,5,1,1,1964,4,2,2,1972,6,3,2,1999,10,3,1,2000,9,3,2,2005,5,,,,,,,,,,,,,1,9,,1,,1,4,1,,15,,,,2,,1,,2,,2,,4,0,8,0,3,4,4,3,1,3,3,3,3,1,1,2,1,1,3,2,8,,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,4,4,4,4,3,4,4,3,2,4,1,4,4,1,1,4,1,1,4,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,9,1,4,1,4,1,1,3,4,3,4,7,172,80,1,12,,6,6,10,1,1,3,3,3,,,,,8,3
3813,1,1,2005,4,2,2,1,2,1964,3,3,2,2005,4,,,,,,,,,,,,,,,,,,,,,,,,,1,9,,2,,1,4,6,,70,,,,1,,1,,1,,1,,4,0,12,0,4,5,5,4,1,4,4,3,3,2,1,3,3,4,4,3,8,,2,1,1,1,4,1,1,1,1,4,1,1,2,2,4,3,3,3,4,3,3,3,3,2,4,1,3,3,2,1,4,2,1,3,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,-2,2,3,2,3,2,2,4,4,3,1,7,162,66,1,9,,6,6,10,2,1,3,,1,,,,,5,3
3814,1,1,2005,12,2,4,1,2,1978,6,2,1,1976,4,3,2,2005,4,3,2,2008,12,,,,,,,,,,,,,,,,,1,2,,1,,1,5,4,,60,,,,1,,1,,1,,1,,5,0,12,0,4,4,3,3,1,4,3,4,3,1,1,4,4,3,4,2,8,,1,1,1,1,1,1,1,1,1,3,2,1,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,3,3,2,3,3,2,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,-3,2,3,2,3,2,3,3,2,3,1,0,160,46,1,2,,5,5,10,1,1,3,2,3,,,,,6,3
3815,1,1,2005,10,1,4,1,2,1977,3,2,1,1975,10,3,1,2005,10,3,2,2008,10,,,,,,,,,,,,,,,,,1,9,,1,,1,5,1,,50,,,,1,,1,,2,,2,,5,0,7,0,4,4,4,3,1,4,4,3,4,1,2,4,2,3,4,2,8,,3,2,3,1,1,1,1,1,2,2,1,1,1,1,4,4,3,3,3,3,3,3,3,2,2,1,3,4,2,1,4,2,1,3,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-4,2,3,2,3,2,3,3,2,3,5,4,160,70,1,1,,5,4,10,1,2,3,5,,,,,,6,3
